epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,154.561,1.28549,2.15947,1.56946,0.46424,0.35861,0.36198,0.10166,2.06315,3.50416,2.65493,0.00052,0.00052,0.00052
2,329.366,1.22424,1.77188,1.53742,0.45824,0.34483,0.31666,0.12629,2.51922,3.12258,3.71925,0.00104951,0.00104951,0.00104951
3,516.126,1.24264,1.68344,1.51339,0.27923,0.17241,0.11349,0.04235,3.04644,3.84725,3.43042,0.00156832,0.00156832,0.00156832
4,685.999,1.27288,1.66922,1.51571,0.20436,0.34483,0.15917,0.05416,2.27379,3.47254,2.89113,0.0019406,0.0019406,0.0019406
5,856.963,1.24069,1.64367,1.5133,0.26568,0.31034,0.18501,0.05955,2.64167,3.83754,3.25028,0.0019208,0.0019208,0.0019208
6,1054.56,1.21765,1.59676,1.53116,0.35538,0.18966,0.17306,0.07018,2.56681,3.38346,3.00294,0.001901,0.001901,0.001901
7,1239.22,1.17707,1.55987,1.46117,0.4652,0.35998,0.33161,0.11042,2.46395,2.35007,2.81525,0.0018812,0.0018812,0.0018812
8,1431.31,1.18042,1.48839,1.46826,0.37007,0.43103,0.29371,0.08367,2.61547,3.24918,3.29895,0.0018614,0.0018614,0.0018614
9,1606.17,1.14967,1.43203,1.42995,0.38103,0.44828,0.31112,0.0956,2.27055,2.82649,2.84948,0.0018416,0.0018416,0.0018416
10,1780.73,1.16422,1.46467,1.43791,0.34372,0.43103,0.30336,0.11709,2.28572,3.0813,2.81675,0.0018218,0.0018218,0.0018218
11,1940.7,1.13773,1.44572,1.42606,0.48964,0.38048,0.39309,0.12574,2.37675,3.40147,2.96968,0.001802,0.001802,0.001802
12,2104.98,1.0806,1.38031,1.40218,0.48113,0.43103,0.331,0.08978,2.47637,3.17479,3.35774,0.0017822,0.0017822,0.0017822
13,2275.14,1.13594,1.38144,1.40494,0.08065,0.2069,0.0343,0.00779,2.85839,5.63829,3.88374,0.0017624,0.0017624,0.0017624
14,2456.16,1.1218,1.40843,1.42659,0.4485,0.37931,0.30534,0.09579,2.45821,3.18564,2.99999,0.0017426,0.0017426,0.0017426
15,2622.45,1.12695,1.37435,1.40657,0.62187,0.5,0.47899,0.14793,2.30035,2.23232,2.91987,0.0017228,0.0017228,0.0017228
16,2796.74,1.07259,1.31881,1.38589,0.37197,0.39655,0.31476,0.10421,2.47194,2.40676,3.13003,0.001703,0.001703,0.001703
17,2970.54,1.05156,1.30197,1.37819,0.56144,0.44828,0.39484,0.13522,2.47284,2.3701,2.96706,0.0016832,0.0016832,0.0016832
18,3146.17,1.02214,1.26899,1.34858,0.52606,0.45937,0.39434,0.15017,2.26666,2.38246,2.65175,0.0016634,0.0016634,0.0016634
19,3317.15,1.04888,1.27895,1.36957,0.55262,0.46552,0.43292,0.17413,1.88789,2.66133,2.36253,0.0016436,0.0016436,0.0016436
20,3490.86,1.04696,1.23596,1.36311,0.67702,0.46552,0.53449,0.22397,2.13864,2.09678,2.4874,0.0016238,0.0016238,0.0016238
21,3658.02,1.02002,1.23059,1.34204,0.6602,0.48276,0.53301,0.18606,2.34384,2.14871,2.72673,0.001604,0.001604,0.001604
22,3831.59,1.01004,1.26358,1.34329,0.49083,0.5,0.38118,0.12214,2.40822,2.60403,2.88307,0.0015842,0.0015842,0.0015842
23,4011.11,0.98185,1.17888,1.31774,0.44536,0.31034,0.24766,0.07715,2.54442,3.32459,2.93002,0.0015644,0.0015644,0.0015644
24,4176.45,0.96859,1.15519,1.31586,0.73938,0.53812,0.61507,0.24896,2.1407,2.25171,2.42521,0.0015446,0.0015446,0.0015446
25,4345.76,0.96261,1.13802,1.31189,0.62488,0.5745,0.6462,0.27878,2.02448,1.85898,2.26193,0.0015248,0.0015248,0.0015248
26,4509.67,1.0039,1.19085,1.33574,0.49734,0.5,0.47501,0.18922,2.28709,2.0209,2.7949,0.001505,0.001505,0.001505
