epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,294.136,1.25197,1.86554,1.53953,0.23179,0.2931,0.16793,0.07504,2.35653,5.80333,2.74575,0.00052,0.00052,0.00052
2,595.187,1.23441,1.64211,1.50107,0.24654,0.2931,0.19139,0.06371,2.48748,6.94414,2.98865,0.00104951,0.00104951,0.00104951
3,908.304,1.27167,1.5718,1.51909,0.02275,0.39655,0.01359,0.00393,2.94531,75.8487,3.92848,0.00156832,0.00156832,0.00156832
4,1226.44,1.30282,1.56903,1.51934,0.40947,0.22722,0.19307,0.06085,2.67292,8.05824,3.12921,0.0019406,0.0019406,0.0019406
5,1539.09,1.26954,1.54729,1.52476,0.30674,0.22414,0.12362,0.04067,2.89338,4.6613,3.3459,0.0019208,0.0019208,0.0019208
6,1859.93,1.25105,1.51788,1.52622,0.2754,0.24138,0.17222,0.05262,2.93603,5.32037,3.44032,0.001901,0.001901,0.001901
7,2199.27,1.22027,1.49246,1.49061,0.1943,0.2069,0.10528,0.03132,3.0146,3.1689,3.30544,0.0018812,0.0018812,0.0018812
8,2530.97,1.20052,1.42266,1.45352,0.2833,0.39655,0.21597,0.06402,2.67664,4.1154,3.23675,0.0018614,0.0018614,0.0018614
9,2847.81,1.18844,1.39777,1.45632,0.35835,0.36207,0.25557,0.10617,2.53585,3.81525,2.77763,0.0018416,0.0018416,0.0018416
10,3171.99,1.19953,1.41895,1.45611,0.46443,0.46552,0.38799,0.14363,2.28909,2.37345,2.74332,0.0018218,0.0018218,0.0018218
11,3483.84,1.15431,1.40863,1.43939,0.63059,0.3533,0.40507,0.1517,2.39762,2.02864,2.74913,0.001802,0.001802,0.001802
12,3794.13,1.11793,1.33551,1.42482,0.48992,0.36207,0.36277,0.15009,2.22947,2.01941,2.61188,0.0017822,0.0017822,0.0017822
13,4124.57,1.1371,1.31715,1.40739,0.38933,0.53448,0.39923,0.15331,2.10467,2.39801,2.51788,0.0017624,0.0017624,0.0017624
14,4437.06,1.09133,1.3392,1.40404,0.63545,0.60112,0.52936,0.20779,2.01233,2.8497,2.35936,0.0017426,0.0017426,0.0017426
15,4753.67,1.12596,1.31185,1.39504,0.68226,0.5,0.54865,0.19999,2.11318,1.94847,2.3587,0.0017228,0.0017228,0.0017228
16,5059.92,1.07223,1.28257,1.39892,0.43783,0.55056,0.45014,0.17071,2.39261,1.9647,2.71649,0.001703,0.001703,0.001703
17,5372.67,1.0528,1.26643,1.38463,0.68362,0.37931,0.36868,0.11243,2.50703,2.26034,2.789,0.0016832,0.0016832,0.0016832
18,5684.87,1.02508,1.22519,1.34863,0.57536,0.53448,0.55239,0.20983,2.28798,2.26385,2.54497,0.0016634,0.0016634,0.0016634
19,5989.57,1.06488,1.24194,1.38757,0.56848,0.51724,0.41926,0.13879,2.1899,2.81696,2.64263,0.0016436,0.0016436,0.0016436
20,6282.65,1.03131,1.20142,1.36524,0.66683,0.51764,0.55241,0.21655,2.18873,1.94742,2.43975,0.0016238,0.0016238,0.0016238
21,6581.27,1.00098,1.18699,1.3491,0.54163,0.51724,0.48759,0.18557,2.12429,1.98207,2.3944,0.001604,0.001604,0.001604
22,6900.16,1.01829,1.18526,1.3406,0.69072,0.51724,0.5573,0.19232,2.18879,1.99661,2.52081,0.0015842,0.0015842,0.0015842
23,7231.69,0.99357,1.15614,1.31605,0.53174,0.51724,0.43965,0.17178,2.23802,2.08222,2.57393,0.0015644,0.0015644,0.0015644
24,7543.4,0.96952,1.09933,1.30911,0.5446,0.48276,0.47713,0.20351,2.15605,2.26213,2.44442,0.0015446,0.0015446,0.0015446
25,7843.11,0.96933,1.08266,1.30905,0.58817,0.67241,0.63376,0.25852,2.09299,1.83636,2.38998,0.0015248,0.0015248,0.0015248
26,8164.08,0.99026,1.12381,1.32153,0.55293,0.63793,0.56515,0.21667,2.14485,2.19804,2.52602,0.001505,0.001505,0.001505
27,8478.66,0.92757,1.06868,1.29225,0.62053,0.62069,0.59067,0.18374,2.23606,1.93824,2.59054,0.0014852,0.0014852,0.0014852
28,8785.55,0.92088,1.0739,1.27105,0.71407,0.56897,0.57127,0.2214,2.10849,1.58629,2.40735,0.0014654,0.0014654,0.0014654
29,9100.58,0.94133,1.04326,1.29878,0.64795,0.50781,0.52741,0.19947,2.2542,1.94746,2.61617,0.0014456,0.0014456,0.0014456
30,9402.81,0.90646,1.0143,1.26072,0.73545,0.51724,0.54843,0.23795,2.06836,1.86045,2.39406,0.0014258,0.0014258,0.0014258
31,9720.79,0.91109,0.99628,1.2616,0.62391,0.65517,0.6695,0.30763,1.85878,1.44471,2.2127,0.001406,0.001406,0.001406
32,10032.7,0.90157,0.97537,1.24335,0.56698,0.65517,0.64586,0.32217,1.858,1.70385,2.21625,0.0013862,0.0013862,0.0013862
33,10334.9,0.91068,0.99121,1.25808,0.68169,0.62069,0.70061,0.31931,1.91606,1.46656,2.2951,0.0013664,0.0013664,0.0013664
34,10653.5,0.90737,0.97759,1.261,0.6585,0.49872,0.5977,0.19381,2.30762,1.94394,2.75366,0.0013466,0.0013466,0.0013466
35,10970.9,0.87002,0.92038,1.23188,0.77802,0.60345,0.68117,0.3048,2.04702,1.49359,2.34546,0.0013268,0.0013268,0.0013268
36,11283.8,0.90015,0.93602,1.24238,0.76561,0.56325,0.60258,0.28483,1.95529,1.65653,2.40401,0.001307,0.001307,0.001307
37,11600.7,0.84276,0.89119,1.20371,0.72686,0.64242,0.71009,0.27554,2.20582,1.63388,2.71794,0.0012872,0.0012872,0.0012872
38,11907.4,0.85199,0.88686,1.23371,0.70141,0.56897,0.5898,0.21867,2.30867,1.71179,2.7128,0.0012674,0.0012674,0.0012674
39,12219.9,0.83333,0.84516,1.19687,0.80605,0.67241,0.74681,0.28235,2.18732,1.44421,2.5265,0.0012476,0.0012476,0.0012476
40,12532.6,0.83403,0.84508,1.20739,0.76463,0.6162,0.68097,0.32369,1.90497,1.43919,2.21239,0.0012278,0.0012278,0.0012278
41,12852.4,0.80806,0.85278,1.19279,0.78276,0.7069,0.76405,0.37882,1.78924,1.23181,2.15243,0.001208,0.001208,0.001208
42,13154.4,0.82995,0.86406,1.20779,0.82561,0.65304,0.73826,0.37939,1.86537,1.33956,2.14495,0.0011882,0.0011882,0.0011882
43,13474.1,0.80893,0.80597,1.19563,0.63981,0.62069,0.66462,0.28583,2.03718,1.49619,2.34295,0.0011684,0.0011684,0.0011684
44,13782.5,0.8128,0.82873,1.18803,0.76803,0.62801,0.72914,0.37894,1.80502,1.40951,2.09499,0.0011486,0.0011486,0.0011486
45,14095.9,0.80387,0.80021,1.17335,0.73439,0.65517,0.70145,0.33805,1.88786,1.1799,2.19279,0.0011288,0.0011288,0.0011288
46,14420.7,0.79691,0.76244,1.17263,0.75639,0.72414,0.74335,0.37044,1.8524,1.22311,2.1976,0.001109,0.001109,0.001109
47,14727.6,0.79431,0.78109,1.17235,0.69245,0.67241,0.70599,0.30883,2.09526,1.43074,2.50674,0.0010892,0.0010892,0.0010892
48,15036.9,0.78406,0.78507,1.16424,0.75805,0.75862,0.79496,0.42944,1.66942,1.26347,2.02627,0.0010694,0.0010694,0.0010694
49,15353.5,0.77662,0.75086,1.1662,0.80444,0.78022,0.85338,0.40046,1.88836,1.14753,2.17821,0.0010496,0.0010496,0.0010496
50,15665.3,0.76618,0.7354,1.14167,0.82706,0.68966,0.76678,0.40012,1.92214,1.318,2.23805,0.0010298,0.0010298,0.0010298
51,15975.6,0.74267,0.72043,1.13254,0.75575,0.69358,0.76374,0.4074,1.6993,1.1726,2.06791,0.00101,0.00101,0.00101
52,16282.7,0.74535,0.72619,1.13168,0.69041,0.76905,0.73958,0.38118,1.84953,1.28551,2.24371,0.0009902,0.0009902,0.0009902
53,16582.6,0.74147,0.74097,1.13742,0.71955,0.70779,0.73511,0.36681,1.85557,1.13514,2.28603,0.0009704,0.0009704,0.0009704
54,16886,0.71155,0.72263,1.12108,0.85615,0.61579,0.73264,0.34289,1.82948,1.27591,2.19336,0.0009506,0.0009506,0.0009506
55,17195,0.72659,0.70142,1.12596,0.82728,0.72414,0.81309,0.446,1.76755,1.03005,2.09195,0.0009308,0.0009308,0.0009308
56,17506.3,0.71685,0.69162,1.10876,0.84361,0.74407,0.78898,0.36858,2.01129,1.19992,2.31023,0.000911,0.000911,0.000911
57,17826.5,0.7206,0.67161,1.1206,0.79689,0.7931,0.83569,0.47223,1.66686,1.05917,2.01114,0.0008912,0.0008912,0.0008912
58,18129.9,0.72614,0.71143,1.12939,0.69469,0.7931,0.73985,0.35578,2.00851,1.23352,2.29785,0.0008714,0.0008714,0.0008714
59,18452.9,0.71043,0.6749,1.10474,0.73893,0.68327,0.71645,0.32801,2.10299,1.46351,2.39267,0.0008516,0.0008516,0.0008516
60,18763.7,0.69039,0.64065,1.11218,0.75909,0.70626,0.72585,0.29337,2.24111,1.49834,2.73108,0.0008318,0.0008318,0.0008318
61,19073.2,0.68744,0.64818,1.09395,0.73529,0.81034,0.78834,0.39199,1.81319,1.15669,2.27533,0.000812,0.000812,0.000812
62,19389.9,0.67265,0.61749,1.08296,0.82442,0.74138,0.85193,0.44957,1.7601,1.00526,2.15191,0.0007922,0.0007922,0.0007922
63,19706.7,0.67478,0.61638,1.07319,0.7022,0.81312,0.79464,0.42556,1.71971,1.10001,2.22489,0.0007724,0.0007724,0.0007724
64,20016.4,0.67794,0.60676,1.08609,0.80909,0.75862,0.85919,0.44823,1.7831,1.02737,2.2495,0.0007526,0.0007526,0.0007526
65,20328.6,0.66393,0.60227,1.07518,0.84291,0.7931,0.85841,0.45064,1.82027,1.00862,2.2074,0.0007328,0.0007328,0.0007328
66,20633.1,0.66431,0.60986,1.08846,0.85855,0.7931,0.87638,0.46157,1.72481,0.97031,2.08624,0.000713,0.000713,0.000713
67,20938.6,0.64502,0.57973,1.06579,0.91573,0.74138,0.85683,0.46584,1.75786,0.99989,2.23352,0.0006932,0.0006932,0.0006932
68,21256.4,0.63931,0.58267,1.06518,0.90627,0.77586,0.87134,0.49638,1.58295,0.91269,1.96619,0.0006734,0.0006734,0.0006734
69,21569.8,0.63891,0.57488,1.06482,0.86416,0.75862,0.79361,0.44304,1.55873,0.98421,1.94353,0.0006536,0.0006536,0.0006536
70,21879,0.61488,0.5489,1.04439,0.9252,0.77586,0.83639,0.49372,1.70269,0.97725,2.09041,0.0006338,0.0006338,0.0006338
71,22189,0.62309,0.55821,1.04942,0.80064,0.83097,0.85839,0.47854,1.67853,1.0331,2.08411,0.000614,0.000614,0.000614
72,22494.3,0.62785,0.57812,1.06145,0.89343,0.75862,0.80995,0.48336,1.62442,1.13512,2.07097,0.0005942,0.0005942,0.0005942
73,22806.4,0.60889,0.5518,1.0473,0.82605,0.82759,0.88913,0.5244,1.63994,0.86445,2.00855,0.0005744,0.0005744,0.0005744
74,23117,0.59245,0.53006,1.04304,0.86241,0.86459,0.86491,0.4906,1.70982,0.91837,2.09297,0.0005546,0.0005546,0.0005546
75,23425.2,0.59247,0.53359,1.04521,0.86555,0.81034,0.84107,0.45704,1.94278,0.94821,2.29168,0.0005348,0.0005348,0.0005348
76,23732.4,0.57418,0.50833,1.02714,0.86529,0.81034,0.80035,0.38802,1.9682,1.12776,2.38723,0.000515,0.000515,0.000515
77,24036.2,0.57894,0.51526,1.04174,0.85474,0.82759,0.8371,0.44199,1.8481,0.97536,2.21033,0.0004952,0.0004952,0.0004952
78,24349.1,0.57129,0.51052,1.03487,0.83451,0.86949,0.87078,0.50208,1.71725,0.87817,2.02209,0.0004754,0.0004754,0.0004754
79,24655,0.58678,0.51198,1.03391,0.89916,0.76876,0.86902,0.50294,1.7029,0.84193,2.12439,0.0004556,0.0004556,0.0004556
80,24976.8,0.57871,0.52375,1.03374,0.92164,0.84483,0.86274,0.50786,1.74184,0.83651,2.12566,0.0004358,0.0004358,0.0004358
81,25288.6,0.5834,0.49902,1.02967,0.77571,0.89445,0.89351,0.55062,1.54565,0.91358,1.90209,0.000416,0.000416,0.000416
82,25601.9,0.57562,0.50692,1.02665,0.87685,0.73665,0.85787,0.49222,1.76294,0.91967,2.1241,0.0003962,0.0003962,0.0003962
83,25911.3,0.55731,0.48047,1.01816,0.93303,0.72074,0.864,0.50677,1.71222,0.91393,2.12254,0.0003764,0.0003764,0.0003764
84,26219.7,0.54415,0.47018,1.00657,0.89939,0.77075,0.87915,0.5374,1.62341,0.82119,1.97818,0.0003566,0.0003566,0.0003566
85,26526.9,0.53701,0.47589,1.00799,0.82823,0.83137,0.85009,0.50336,1.77674,0.84858,2.09287,0.0003368,0.0003368,0.0003368
86,26832.1,0.52869,0.46519,1.00041,0.803,0.91362,0.87538,0.50025,1.77705,0.79396,2.03685,0.000317,0.000317,0.000317
87,27138.3,0.52174,0.45065,1.00643,0.8829,0.7931,0.86976,0.49551,1.8699,0.8891,2.26943,0.0002972,0.0002972,0.0002972
88,27447.4,0.53495,0.4744,1.00798,0.88325,0.78273,0.84953,0.50466,1.71957,0.99677,2.17531,0.0002774,0.0002774,0.0002774
89,27753.7,0.53587,0.4681,1.00176,0.93576,0.75347,0.85875,0.51003,1.58734,0.87959,2.04769,0.0002576,0.0002576,0.0002576
90,28059.7,0.50866,0.45244,0.99328,0.88388,0.7931,0.86939,0.52469,1.701,0.86234,2.08219,0.0002378,0.0002378,0.0002378
91,28359.1,0.52094,0.45433,0.99473,0.83173,0.81034,0.8285,0.43747,1.79857,0.93275,2.28106,0.000218,0.000218,0.000218
92,28678,0.47906,0.36655,0.95243,0.82473,0.7931,0.8303,0.47229,1.6598,0.86427,2.14182,0.0001982,0.0001982,0.0001982
93,28979.1,0.48338,0.37093,0.96805,0.8863,0.80647,0.8658,0.49807,1.71061,0.83488,2.1861,0.0001784,0.0001784,0.0001784
94,29286.4,0.4772,0.35873,0.96658,0.89428,0.82759,0.89542,0.53404,1.65852,0.7882,2.0939,0.0001586,0.0001586,0.0001586
95,29599.7,0.46138,0.33939,0.95362,0.90492,0.82056,0.86828,0.49655,1.70523,0.78905,2.13459,0.0001388,0.0001388,0.0001388
96,29911.1,0.4591,0.34463,0.95194,0.8927,0.81034,0.86727,0.5106,1.71073,0.80581,2.1199,0.000119,0.000119,0.000119
97,30210,0.44323,0.33886,0.94586,0.91997,0.79274,0.87142,0.52581,1.68337,0.84545,2.07658,9.92e-05,9.92e-05,9.92e-05
98,30512.2,0.44292,0.32949,0.95412,0.83637,0.86207,0.87732,0.51623,1.65336,0.83083,2.05492,7.94e-05,7.94e-05,7.94e-05
99,30819,0.42975,0.31934,0.94789,0.89466,0.81034,0.88345,0.51487,1.64913,0.80362,2.05953,5.96e-05,5.96e-05,5.96e-05
100,31119,0.42401,0.32583,0.93472,0.90162,0.81034,0.88852,0.5243,1.64933,0.78816,2.05599,3.98e-05,3.98e-05,3.98e-05
